Label	Clip
Safety	It is side crash tested and the base is adjustable you can recline it at 3 different levels.
Safety	I love that we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2 this seat makes it easy to do so.
Safety	  Safety is obviously my primary concern and this car seat fits really snugly in my car and doesnt move around.
Safety	  Also my son figured out how to snap off the cup holder pretty quickl
Safety	We are using this as a rear facing seat in our Chevy Malibu and it fits just fine. Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk. I love that we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2 this seat makes it easy to do so.
Safety	It is side crash tested and the base is adjustable you can recline it at 3 different levels. I highly recommend this it item.
Safety	Safety is obviously my primary concern and this car seat fits really snugly in my car and doesnt move around.
Safety	 Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk. I love that we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2 this seat makes it easy to do so.
Safety	 Im sure this is safe enough but I wouldnt want it as an infant seat . . . too inconvenient.
Safety	Normally he literally fights and struggles when it is time to get into the the car but not this time. I love this chair  My child is so comfortable and Im confident that he is safe and secure.
Safety	I love that this seat has such a high rear facing weight and height limit.  It is so high in fact that my 3 1/2 year old would still be able to be rear facing in this seat
Safety	I love that this seat has such a high rear facing weight and height limit.  It is so high in fact that my 3 1/2 year old would still be able to be rear facing in this seat
Safety	My daughter loves this carseat - its very comfortable and appears to be very safe.
Safety	Safety is obviously my primary concern and this car seat fits really snugly in my car and doesnt move around.  I also find it really easy to install please do read all the directions first but after that time investment I havent had any issues installing it quickly and securely.  Plus the seat seams padded well and comfortable for my son.
Safety	 I love that we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2 this seat makes it easy to do so.
Safety	it protects my little girl and it provides comfert for her. she use to always scream when even we had to go anywere but with this new saftey 1st car seat she loves it. Im just thinking how happy she will be when she gets turned around in a few months. This will even work for newborns. if I had known that I would have gotten this a long time ago.
Safety	 Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk. 
Safety	 but I wouldnt want it as an infant seat . . . too inconvenient.
Safety	 rated 
Safety	 its very comfortable and appears to be very safe.
Safety	Safety is obviously my primary concern and this car seat fits really snugly in my car and doesnt move around.  I also find it really easy to install
Safety	highest safety rating
Safety	confident that he is safe
Safety	ice and heavy very durable
Safety	 this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes
Safety	 NO padding. 
Safety	  It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy.
Safety	comfortable and Im confident that he is safe
Safety	it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Ease To Use	 For Canon t2i you do most things with your right thumb that slows you down a little bit.
Ease To Use	I find the ergonomic arrangement of controls on the camera to very very intuitive and pleasant to use
Mobility	Its extremely mobile
Mobility	 Its extremely mobile.
Ram	Ships from
Ram	Ships from
Ram	Ships from
Ram	Ships from
Weight	Light weight
Weight	not very heavy.
Weight	 Relatively light about 1 kg / 2 pounds with lens again good for trips.
Weight	Relatively light
Weight	d is not very heavy
Weight	heavy enough
Weight	The camera comes with a comfortable good quality neck strap and is quite light and small compared to other SLR
Weight	Relatively light about 1 kg / 2 pounds with lens
Weight	Relatively light
Weight	Relatively light about 1 kg / 2 pounds with lens again good for trips.
Weight	I love that this seat has such a high rear facing weight and height limit.
Weight	ight weight and fits well in the middle seat in my midsize infiniti. 
Weight	  I love this camera as it does a good job of taking pictures and is not very heavy.  It looks like it should be
Weight	this is the ultimate walk-around lens for a crop body camera.
Weight	Relatively light
Weight	mparisons I decided on this cam
Weight	D3100 14.2MP Digital SLR Camera with 18-55mm f/3.5-5.6 AF-S DX VR Nikkor Zoom Lens Camera
Weight	Relatively light about 1 kg / 2 pounds with lens again good for trips.
Weight	Relatively light
Weight	light enough that I dont mind carrying it around all day
Weight	Light weight
Weight	Relatively light
Weight	Relatively light
Weight	Light weight great body design
Weight	quite light 
Weight	light weight and fits well in the middle seat in my midsize infiniti
Weight	Currently the product features and product description contradict each other in regards to the weight limit of this car seat.  The seat holds a child up to 65lbs thus the name  Air 65 .  The Air Protect only holds a child up to 50lbs
Weight	Relatively light about 1 kg / 2 pounds with lens
Weight	Very bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.
Weight	and I love that it has a higher weight limit as well.
Weight	 Relatively light about 1 kg / 2 pounds with lens again good for trips.
Weight	but light enough that I dont mind carrying it around all day. 
Weight	however
Weight	Relatively light about 1 kg / 2 pounds with lens again good for trips
Weight	 love this camera as it does a good job of taking pictures and is not very heavy.  It looks like it should be but does not feel like it is.  It appears to be a very sturdy camera.
Weight	- Relatively light about 1 kg / 2 pounds with lens again good for trips.
Weight	Very bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.
Weight	Unfortunately we had to turn them forward facing before their second birthday because they did not fit backwards
Weight	The seat is gigantic.
Weight	heavy 
Weight	Relatively light about 1 kg / 2 pounds with lens again good for trips.
Weight	Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.
Weight	Relatively light about 1 kg / 2 pounds with lens again good for trips.
Weight	. Light weight great body design
Weight	Relatively light about 1 kg / 2 pounds with lens again good for trips
Weight	Relatively light about 1 kg / 2 pounds with lens again good for trips
Weight	Light weight great body design
Weight	 Light weight great body design
Weight	light weight
Weight	Relatively light
Weight	Light weight great body design.
Weight	Relatively light about 1 kg / 2 pounds with lens
Weight	Relatively light about 1 kg / 2 pounds with lens again good for trips
Weight	Light weight great body design.
Weight	Relatively light about 1 kg / 2 pounds with lens again good for trips.
Weight	elatively light 
Weight	 Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.
Weight	 Light weight great body design. 
Weight	 Relatively light about 1 kg / 2 pounds with lens
Weight	form factor it wont weigh me down
Weight	I love this camera as it does a good job of taking pictures and is not very heavy.  It looks like it should be but does not feel like it is.  It appears to be a very sturdy camera.
Weight	Relatively light
Weight	 Light weight great body design
Weight	#N/A
Weight	#N/A
Weight	#N/A
Weight	It is also good for trips taking pictures of kids or in any other situation where you dont want to change lenses. And you save about 100 when purchasing this kit compared to body + 18-135mm Canon lens.- Performance. Minimal shutter lag good low-light performance nice video.- Relatively light about 1 kg / 2 pounds with lens again good for trips.
Weight	Pros1. Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.2. Easy to operate. The buttons are spread evenly on left side and right side so you can use them with both hands quickly. For Canon t2i you do most things with your right thumb that slows you down a little bit.3. Takes good quality of videos.4. Very fast auto focus on shooting.Cons1. No wireless remote.2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.3. The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. If you buy this camera and this is your concern you can simply use manual focus which is not difficult.4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Weight	light weight and fits well in the middle seat in my midsize infiniti.
Weight	 I love that it has a higher weight limit as well. 
Weight	Relatively light about 1 kg / 2 pounds with lens again good for trips
Weight	Relatively light about 1 kg / 2 pounds with lens again good for trips.
Weight	heavy enough to know its quality but light enough that I dont mind carrying it around all day
Weight	Light weight great body design
Weight	#N/A
Weight	elatively light about 1 kg / 2 pounds with lens again good for trips.
Weight	Light weight great body design
Weight	 Relatively light
Weight	Relatively light 
Weight	Relatively light about 1 kg / 2 pounds with lens
Weight	 Light weight great body design. 
Weight	Its rugged enough that I dont worry about breaking it heavy enough to know its quality but light enough that I dont mind carrying it around all day.
Weight	The seat holds a child up to 65lbs thus the name  Air 65 .  The Air Protect only holds a child up to 50lbs.
Weight	Nikon D3100 16.2MP CMOS Digital SLR Camera with 18-55mm f/3.5-5.6 AF-S DX VR Nikkor Zoom Lens
Weight	Pros1. Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.2. Easy to operate. The buttons are spread evenly on left side and right side so you can use them with both hands quickly. For Canon t2i you do most things with your right thumb that slows you down a little bit.3. Takes good quality of videos.4. Very fast auto focus on shooting.Cons1. No wireless remote.2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.3. The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. If you buy this camera and this is your concern you can simply use manual focus which is not difficult.4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Weight	about 1 kg / 2 pounds with lens
Weight	Very bulky.
Weight	light about 1 kg / 2 pounds with lens
Weight	The 18-135mm lens is a nice upgrade to the standard kit 18-55mm lens. Especially if this is your first DSLR and you dont want to spend more money on lenses. It is also good for trips taking pictures of kids or in any other situation where you dont want to change lenses. And you save about 100 when purchasing this kit compared to body + 18-135mm Canon lens.- Performance. Minimal shutter lag good low-light performance nice video.- Relatively light about 1 kg / 2 pounds with lens again good for trips.
Weight	2 pounds with lens
Storage	I would recommend to get a high speed memory card. The pictures at full 18MP take a lot of memory. Better get some means of decent storage space 750-1TB hardrive will do
Storage	750-1TB hardrive will do
Comfortable	 My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in.
Comfortable	Seriously disappointed with this carseat  Graco put overall adequate padding in the back part but where the baby sits there is absolutely NO padding.  -So babies only have the carseat covers thickness as padding and thats it. which is a joke to consider  padding  So theyre essentially sitting on the hard plastic.  For the price I expected padding on the ENTIRE carseat and for Graco to not skimp on it.
Comfortable	This delivers he isnt leaning back as far and the sides dont cave in next to him. I could tell he liked having things a little roomier the moment I put him in this seat. He still falls asleep with ease.
Comfortable	 it protects my little girl and it provides comfert for her. she use to always scream when even we had to go anywere but with this new saftey 1st car seat she loves it. Im just thinking how happy she will be when she gets turned around in a few months. This will even work for newborns. if I had known that I would have gotten this a long time ago.
Comfortable	Normally he literally fights and struggles when it is time to get into the the car but not this time. I love this chair  My child is so comfortable and Im confident that he is safe and secure.
Comfortable	5.0 out of 5 stars 
Comfortable	fits comfortably
Comfortable	comfortable 
Comfortable	 comfortable
Comfortable	Comfortable
Comfortable	comfert
Comfortable	very comfortable for a little baby
Comfortable	  It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy. 
Comfortable	its very comfortable and appears to be very safe.
Comfortable	The material was soft and fuzzy very comfortable for a little baby.
Comfortable	Comfortable for kids from infant to toddler
Comfortable	My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in.
Comfortable	Material is easy to clean and comfortable on my babys skin.
Comfortable	so much room
Comfortable	  It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy
Comfortable	 roomier
Comfortable	 so comfortable
Comfortable	 it goes straight through the mesh and into the babys eyes.
Comfortable	 it goes straight through the mesh and into the babys eyes.
Comfortable	 trying to get the correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base.
Comfortable	Graco put overall adequate padding in the back part but where the baby sits there is absolutely NO padding.
Comfortable	son fits comfortably in it and has so much room verses his carrier car seat we brought him home in. 
Comfortable	Plus the seat seams padded well and comfortable for my son
Comfortable	 Material is easy to clean and comfortable on my babys skin.
Comfortable	 its very comfortable and appears to be very safe
Comfortable	The material was soft and fuzzy very comfortable for a little baby.
Comfortable	excellent padding and very nice soft fabric.
Comfortable	For the price I expected padding on the ENTIRE carseat and for Graco to not skimp on it.
Comfortable	It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy.  Safety is obviously my primary concern and this car seat fits really snugly in my car and doesnt move around.  I also find it really easy to install please do read all the directions first but after that time investment I havent had any issues installing it quickly and securely.  Plus the seat seams padded well and comfortable for my son
Comfortable	 soft and fuzzy very comfortable for a little baby
Comfortable	 True Fit convertable car seat is amazing
Comfortable	well constructed and pretty comfy
Reviews	rated 
Reviews	0
Reviews	highest safety rating
Reviews	rated 
Battery	This is my first time buying a Digital SLR.  I have mainly used point and shoot cameras in the past and have always had fun taking pictures.  I wanted to start digital photography as a hobby so I decided to buy a nicer camera.  After reading many reviews and comparisons I decided on this camera as it is the update to the Nikon D3000 that a friend of mine has.  They love their camera so I figured this was a good choice.  Unfortunately I have not learned enough to take many pictures off of Auto mode so it acts like a point and shoot.  Compared to my Kodak point and shoot the pictures are great.  I love this camera as it does a good job of taking pictures and is not very heavy.  It looks like it should be but does not feel like it is.  It appears to be a very sturdy camera.
Battery	As a first time Digital SLR buyer and user I love this camera and would highly recommend it to others.  We took about 300 pictures at a Thanksgiving get together and a few other people tried the camera out and were impressed as well.
Battery	Battery life seems to be very good - longer than I expected.
Battery	Battery life is not too great
Battery	Battery life is not too great. I need to charge it everyday.
Battery	Battery life seems to be very good
Battery	Battery life is not too great. 
Battery	y used point and shoot cameras in the past and have always had fun taking pictures.  I wanted to start digital photography as a hobb
Battery	 Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Battery	This camera is very tight on power consumption and has extreme accuracy when you set it for pinpoint focusing as I do for model and portrait photography work.
Battery	Battery life
Battery	attery life is not too great.
Battery	Battery life seems to be very good 
Battery	Battery life seems to be very good - longer 
Battery	 Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Battery	Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Battery	Battery life seems to be very good
Battery	Battery life is not too great
Battery	 Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Battery	Battery life is not too great. I need to charge it everyday.
Battery	Battery life is not too great.
Battery	Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras
Battery	Make sure to get UV filter mostly for protecting the lens and a spare battery Ive got the Opteka one for 
Battery	Battery life is not too great. I need to charge it everyday. T
Battery	 Battery life is not too great. I need to charge it everyday.
Battery	Battery life seems to be very good
Battery	 Battery life is not too great. 
Battery	Battery life is not too great
Battery	Battery life is not too great. I need to charge it everyday. 
Battery	Battery life seems to be very good - longer than I expected.  The included corded battery charger will appeal to some but not to those who prefer the travel type charger with a swing-out plug.
Battery	 Battery life is not too great. I need to charge it everyday.
Battery	 Battery life is not too great.
Battery	Battery life is not too great. I need to charge it everyday.
Battery	Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Battery	Battery life is not too great.
Battery	 Battery life is not too great. I need to charge it everyday.
Battery	Battery life is not too great
Battery	. Battery life is not too great. I need to charge it everyday
Battery	. Battery life is not too great
#N/A	Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow.
General	Pros1. Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.2. Easy to operate. The buttons are spread evenly on left side and right side so you can use them with both hands quickly. For Canon t2i you do most things with your right thumb that slows you down a little bit.3. Takes good quality of videos.4. Very fast auto focus on shooting.Cons1. No wireless remote.2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.3. The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. If you buy this camera and this is your concern you can simply use manual focus which is not difficult.4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
General	I got it for 699  including the VR 55-200mm + camera bag with DVD
General	Cons1. No wireless remote.2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.3. The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. If you buy this camera and this is your concern you can simply use manual focus which is not difficult.4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras
General	Excellent Beginners DSLR
General	T3i greater then nikon 5100
Value	Although friends told me that Britax car seats were great I could not see myself spending that much . But to much of my suprise the True Fit convertable car seat is amazing
Value	This is a great option for those of us who cant afford a Britax.
Value	the price is very reasonable
Value	It isnt the cheapest seat out there but for how good it is and compared to comparable seats youre getting one heck of a good deal.
Value	Bonus- its wallet friendly and in this economy who wouldnt want to save a buck on a great product 
Value	This camera/lens kit is probably the best you can get for the money.  I conducted countless hours of research on Canons Nikons and even Sonys.  I was used to using point-and-shoots and small flip style video cameras to make my videos.  I looked into DSLRs and really wanted a canon.  YOU CANT GO WRONG WITH THIS CAMERA   It is great for intermediate shooters who want to get their first or second DSLR.  It is very user Friendly and Fun to use.
Value	This camera/lens kit is probably the best you can get for the money.
Value	I just felt in my opinion that the Canon T3i was the best deal at 789.99 with the lens kit.
Value	For the money the D3100 cant be beat.
Value	save about 100 when purchasing this kit compared to body + 18-135mm Canon lens
Value	Excellent camera though a bit expensive - worth every penny.
Value	They are worth every penny.
Value	we dont need to compromise on quality or style.
Value	It is a well made and designed car seat and the price is very reasonable.
Value	Overall a very nice car seat for the price.
Value	For the price I expected padding on the ENTIRE carseat and for Graco to not skimp on it.
Value	It is also good for trips taking pictures of kids or in any other situation where you dont want to change lenses. And you save about 100 when purchasing this kit compared to body + 18-135mm Canon lens.
Value	The reason I chose the T3i over the Nikon D5100 was because of video manual focus on the Canon and also the Nikon D5100 does not have a built-in focus motor. I am sure the Nikon D5100 is a spectacular camera and it sports a larder image sensor than the Canon. I just felt in my opinion that the Canon T3i was the best deal at 789.99 with the lens kit.
Value	lower than T2i 
Value	bottom line is that images from the D3100 are indistinguishable from the more expensive models
Value	heck of a good deal
Value	For the money the D3100 cant be beat.
Value	This camera/lens kit is probably the best you can get for the money
Value	The 18-135mm lens is a nice upgrade to the standard kit 18-55mm lens. Especially if this is your first DSLR and you dont want to spend more money on lenses.
Value	This camera/lens kit is probably the best you can get for the money.
Value	 I just felt in my opinion that the Canon T3i was the best deal at 789.99 with the lens kit.
Value	For the money the D3100 cant be beat.
Value	Bonus- its wallet friendly and in this economy who wouldnt want to save a buck on a great product 
Value	It isnt the cheapest seat out there but for how good it is and compared to comparable seats youre getting one heck of a good deal.
Value	It is a well made and designed car seat and the price is very reasonable.
Value	  Again for the price would it have REALLY been that expensive for Graco to continue the padding to the SEAT
Value	I had been taking pictures with my roommates Canon EOS t2i for months and then I decided to get my own entry-level DSLR. Ive compared Canon EOS t2i with Nikon D3100 and finally I picked D3100. I am very happy about the decision.
Value	The macro features are also on par with its more advanced and WAY higher priced big brothers to this camera
Value	great deal for the price. I understand each car seat has to meet standards but I have been please with this one and my husband just purchased an extra one to have in his 06Nissan Frontier
Value	Love this car seat   After extensive research and practically being settled on the Britax Advocate I feel like you get what you pay for
Value	Bonus- its wallet friendly
Value	dont need to compromise on quality or style.  It is a well made and designed car seat and the price is very reasonable
Value	I just felt in my opinion that the Canon T3i was the best deal at 789.99 with the lens kit.
Value	ts wallet friendly
Value	It isnt the cheapest seat out there
Value	Ive purchased SnugRides in the past but this is the first one to have a serious lack of adequate padding.  Again for the price would it have REALLY been that expensive for Graco to continue the padding to the SEAT
#N/A	No autofocus when zooming while taking video
#N/A	I conducted countless hours of research on Canons Nikons and even Sonys.  I was used to using point-and-shoots and small flip style video cameras to make my videos.  I looked into DSLRs and really wanted a canon.
#N/A	I can not believe the quality and sound you would have thought I used a real video camera and not one from a camera
#N/A	 I took a dance performances of my wife and Kids at local community get together and they came out so good and my wife who is very difficult to please liked it so much that she said that next time we will shoot the video only with our Nikon D3100  I guess now i can finally retire my mini DV video camera.
Buttons	Entry Level DSLR
Buttons	T2i is FAST
Buttons	Very fast auto
Buttons	uttons are spread evenly
Sturdy	ery sturdy 
#N/A	quick delivery
#N/A	delivered one day after I ordered it online. 
#N/A	Amazon prime helped to get the delivery in a very shortest period which was not imaginable
Upgrade	I bought the T2i first then decided to upgrade to the T3i
Upgrade	 I am upgrading from a Canon XSI
Upgrade	I upgraded from nikon D50 to this. So of course the pictures are much much better.
Upgrade	#N/A
Upgrade	#N/A
Upgrade	#N/A
Upgrade	#N/A
Upgrade	#N/A
Upgrade	#N/A
Upgrade	#N/A
Upgrade	#N/A
Upgrade	#N/A
Upgrade	#N/A
#N/A	Battery life is not too great.
#N/A	Battery life is not too great.
#N/A	Battery life is not too great. I need to charge it everyday.
#N/A	. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
LCD Screen	 Low resolution of LCD screen. It only has 230000 pixels
LCD Screen	I went for the T3i over the T2i because of the articulating LCD screen.
LCD Screen	2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.
LCD Screen	I went for the T3i over the T2i because of the articulating LCD screen. I personally preferred the Canon T3i over the Canon T2i because of that one reason only which is not a huge deal. 
LCD Screen	I especially like the articulated LCD screen on the back of the camera that allows it to be positioned so that otherwise very awkward camera positions ie overhead or low to the ground are easily possible
LCD Screen	If you are debating over the T2i vs the T3i there isnt much that is different it is preference whether you need a view finder that moves and if that feature is worth the extra 100. 
LCD Screen	flip out LCD screen
LCD Screen	 LCD screen
LCD Screen	Low resolution of LCD screen
LCD Screen	Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.
LCD Screen	articulating LCD screen
LCD Screen	Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels
LCD Screen	articulating LCD screen
LCD Screen	I resisted and ended up waiting to purchase the T3i which was the best decision I made. At a glance the camera has a good feel to it and overall has the same features as the T2i. The main differences I noticed in it were the flip out LCD screen which I use more often for some of the photos I take. Among the screen the improvement to the video truly being 1080p and the simple menu
LCD Screen	Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels
LCD Screen	I went for the T3i over the T2i because of the articulating LCD screen
LCD Screen	The main differences I noticed in it were the flip out LCD screen 
LCD Screen	I went for the T3i over the T2i because of the articulating LCD screen
LCD Screen	articulating LCD screen
LCD Screen	 Low resolution of LCD screen.
LCD Screen	The main differences I noticed in it were the flip out LCD screen
LCD Screen	Low resolution of LCD screen
LCD Screen	Low resolution of LCD screen. 
LCD Screen	Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels.
LCD Screen	Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.
LCD Screen	I went for the T3i over the T2i because of the articulating LCD screen. 
LCD Screen	 Low resolution of LCD screen
LCD Screen	#N/A
LCD Screen	#N/A
LCD Screen	I went for the T3i over the T2i because of the articulating LCD screen.
LCD Screen	I chose the t2i over t3i because I didnt feel I would need to use the movable lcd screen and couldnt justify spending that much money on it.
LCD Screen	I went for the T3i over the T2i because of the articulating LCD screen. I personally preferred the Canon T3i over the Canon T2i because of that one reason only which is not a huge deal
LCD Screen	The main differences I noticed in it were the flip out LCD screen which I use more often for some of the photos I take
LCD Screen	I especially like the articulated LCD screen on the back of the camera that allows it to be positioned so that otherwise very awkward camera positions ie overhead or low to the ground are easily possible.  The view finder is very clear and has all basic settings info on the bottom border.
LCD Screen	I went for the T3i over the T2i because of the articulating LCD screen.
LCD Screen	I went for the T3i over the T2i because of the articulating LCD screen.
LCD Screen	flip around screen
LCD Screen	Low resolution of LCD screen
LCD Screen	I especially like the articulated LCD screen on the back of the camera that allows it to be positioned so that otherwise very awkward camera positions ie overhead or low to the ground are easily possible.
LCD Screen	Low resolution of LCD screen.
LCD Screen	T3i over the T2i because of the articulating LCD screen
LCD Screen	Cons1. No wireless remote.2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.3. The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. If you buy this camera and this is your concern you can simply use manual focus which is not difficult.4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
LCD Screen	 I especially like the articulated LCD screen on the back of the camera that allows it to be positioned so that otherwise very awkward camera positions ie overhead or low to the ground are easily possible.
LCD Screen	The main differences I noticed in it were the flip out LCD screen which I use more often for some of the photos I take. Among the screen the improvement to the video truly being 1080p and the simple menu
LCD Screen	 articulating LCD screen.
LCD Screen	the T3i over the T2i because of the articulating LCD screen
LCD Screen	the flip out LCD screen which I use more often for some of the photos I take.
LCD Screen	I went for the T3i over the T2i because of the articulating LCD screen.
LCD Screen	I went for the T3i over the T2i because of the articulating LCD screen. 
LCD Screen	articulating LCD screen
LCD Screen	No wireless remote.2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.
LCD Screen	I came to the decision that the only cameras I liked that felt good in my hand were the Canon T2i Nikon D5100 and the Can T3i. I went for the T3i over the T2i because of the articulating LCD screen. I personally preferred the Canon T3i over the Canon T2i because of that one reason only which is not a huge deal.
LCD Screen	0
Built In Flash	Built-in flash is not so great
Built In Flash	uilt-in flash is not so grea
Built In Flash	Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.
Built In Flash	Built-in flash is not so great
Built In Flash	hen taking pictures on wide angle setting lens creates a shade
Built In Flash	Built-in flash is not so great. Al
Video Quality	 Takes good quality of videos.
Video Quality	The best part was the 1080P video. I took a dance performances of my wife and Kids at local community get together and they came out so good and my wife who is very difficult to please liked it so much that she said that next time we will shoot the video only with our Nikon D3100
Video Quality	Takes good quality of videos.
Video Quality	we will shoot the video only with our Nikon D3100
Video Quality	 The best part was the 1080P video.
Video Quality	the video truly being 1080p
Video Quality	Video I have taken alot for Football and I can not believe the quality and sound you would have thought I used a real video camera and not one from a camera
Video Quality	FULL HD VIDEO RECORDING
Video Quality	Oh and the video.....Its 1080p HD
Video Quality	The best part was the 1080P video. I took a dance performances of my wife and Kids at local community get together and they came out so good
Video Quality	 The best part was the 1080P video. I took a dance performances of my wife and Kids at local community get together and they came out so good and my wife who is very difficult to please liked it so much that she said that next time we will shoot the video only with our Nikon D3100
Video Quality	Takes good quality of videos.
Video Quality	lets talk Video I have taken alot for Football and I can not believe the quality and sound you would have thought I used a real video camera and not one from a camera
Video Quality	Takes good quality of videos.
Video Quality	The best part was the 1080P video. I took a dance performances of my wife and Kids at local community get together and they came out so good and my wife who is very difficult to please liked it so much that she said that next time we will shoot the video only with our Nikon D3100  I guess now i can finally retire my mini DV video camera
Video Quality	Cons- Price- Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.- No autofocus when zooming while taking video pressing shutter button half way focuses the picture.- Focus in live picture mode is slow even slower than on most point and shoot cameras
Video Quality	Oh and the video.....Its 1080p HD nothing more needs to be said. 
