Labels	Clips
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	Some of the reviews complain that the Air  wings  cause problems for the kid seeing out but their height is adjustable AND I really like that when my daughter falls asleep they hold her head up so its not bobbing all over the place.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	Currently the product features and product description contradict each other in regards to the weight limit of this car seat.  The seat holds a child up to 65lbs thus the name  Air 65 .  The Air Protect only holds a child up to 50lbs.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	he 600d has better continuous recording you have better manual capabilities. after a lot research i decided to go with the canon i went with a t3i and not a t2i for the flip around screen. i shoot in awkward positions sometimes and it defiantly comes in handy.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	trying to get the correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base. Therefore when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	After searching and searching for a DSLR camera I had almost convinced myself of the T2i. I resisted and ended up waiting to purchase the T3i which was the best decision I made. At a glance the camera has a good feel to it and overall has the same features as the T2i.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	Very bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.Catch a lot of stuff under the paddingCant adjust strap length while in rear facing position. This is most frustrating but not often an issue.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	ConsVery bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.Catch a lot of stuff under the paddingCant adjust strap length while in rear facing position. This is most frustrating but not often an issue.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	Since initially posting Ive purchased these lenses Canon EF 75-300mm f/4-5.6 III USM Telephoto Zoom Lens for Canon SLR Cameras and Canon EF 50mm f/1.8 II Camera Lens and really like what the camera can do. Im more and more certain in the 5 stars I put on this review. Really love this camera
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	Cons- Price- Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.- No autofocus when zooming while taking video pressing shutter button half way focuses the picture.- Focus in live picture mode is slow even slower than on most point and shoot cameras
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	lk Video I have taken alot for Football and I can not believe the quality and sound you would have thought I used a real video camera and not one from a camera it has surpassed what I have expected for a camera I am unbelievably happy with my purchase. Amazon thank you for the quick delivery yet again 
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	between a t3i and Nikon 5100. everyone tells me that Nikon has a better lenses but when it comes down to it you can buy any lens for your camera. the 600d has better continuous recording you have better manual capabilities. after a lot research i decided to go with the canon i went with a t3i and not a t2i for the flip around screen. 
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	The reason I chose the T3i over the Nikon D5100 was because of video manual focus on the Canon and also the Nikon D5100 does not have a built-in focus motor. I am sure the Nikon D5100 is a spectacular camera and it sports a larder image sensor than the Canon. I just felt in my opinion that the Canon T3i was the best deal at 789.99 with the lens kit.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	Seriously disappointed with this carseat  Graco put overall adequate padding in the back part but where the baby sits there is absolutely NO padding.  -So babies only have the carseat covers thickness as padding and thats it. which is a joke to consider  padding  So theyre essentially sitting on the hard plastic.  For the price I expected padding on the ENTIRE carseat and for Graco to not skimp on it.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	  The seat is gigantic.  When rear facing it would only fit in one postion in my car. I currently live in Japan where my hubby is currently stationed with the USMC.  We drive a large van similar to the old Chevy Astro van.  This seat would onlt fit in the 2nd row in the middle seating position so that it came up almost through the 2 front seats.  I doubt this seat would fit into any other position in any car.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	I went to Best buy and tested out the Canon T2i the Nikon D5100 the Canon 60D and the Nikon D7000. After testing out all the products I came to the decision that the only cameras I liked that felt good in my hand were the Canon T2i Nikon D5100 and the Can T3i. I went for the T3i over the T2i because of the articulating LCD screen. I personally preferred the Canon T3i over the Canon T2i because of that one reason only which is not a huge deal. 
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	Yes its a little difficult to install but you get the hang of it real quick. One disappointment was that the seat cover is made of a material where the velcro on my sons shoes frayed it and the seat cover became scratchy.  I emailed customer service with pictures and they sent me a new cover that is a suede-like plush material -- free of charge  I was pleasantly surprised. Definitely worth doing business with companies who please their customers 
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	the next problem I encountered was trying to get the correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base. Therefore when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level. After talking to 2 graco representatives the first one told me to  eyeball it  they were able to send me a snug ride 30 base. They claim the new base should be available on the market soon but for now you have to buy it through graco directly.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	 This camera is very tight on power consumption and has extreme accuracy when you set it for pinpoint focusing as I do for model and portrait photography work. The macro features are also on par with its more advanced and WAY higher priced big brothers to this camera. Now the 18.1MP sensor.....WOW  The image sizes of the CMOS sensor allow me great latitude in adjusting and tweaking my RAW images anytime I wish to be creative. If you are just starting out are bored with the out of date  point-n-shoot  want to upgrade your digital cams or you want to move from film to digital the T3i will not disappoint. Its an excellent camera for ANY level of photographer - beginner or experienced pro this camera really shines. Oh and the video.....Its 1080p HD nothing more needs to be said.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	Pros1. Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.2. Easy to operate. The buttons are spread evenly on left side and right side so you can use them with both hands quickly. For Canon t2i you do most things with your right thumb that slows you down a little bit.3. Takes good quality of videos.4. Very fast auto focus on shooting.Cons1. No wireless remote.2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.3. The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. If you buy this camera and this is your concern you can simply use manual focus which is not difficult.4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra Nikon EN-EL14 Rechargeable Li-Ion Battery for Nikon D3100 SLR and P7000 Digital Cameras.
Features Articulating screen Image stabilization Nikon D3100 Canon (company) Camera Liquid crystal display Computer monitor Velcro Shoe Headrest HDMI Out of the box Customer service Child safety seat  Minivan Odyssey Mid-size car SEAT Product description (business) Toddler Pool noodle Noodle Chevrolet Astro Japan Digital single-lens reflex camera Keep IBM 5100 resolution Megapixel Pixel Display Autofocus Shutter (photography) Focus (optics) Wide-angle lens Flash Point-and-shoot button D5100 sensor Manual focus 1080p CMOS D5000 Lithium-ion battery Zoom Single-lens D7000 EOS 60D EF 50mm f/1.8 II mount Telephoto F-number Raw image format Active pixel	Ill inform the public so they too can enjoy ALL of the features of this outstanding camera. The articulating screen wasnt necessary yet it IS what made me choose this model over the T2i. The prices were just too close to pass it up. Ill be adding more T3i and T2i cameras to my photo biz in the coming months as well as trying out the IS lenses. This camera is very tight on power consumption and has extreme accuracy when you set it for pinpoint focusing as I do for model and portrait photography work. The macro features are also on par with its more advanced and WAY higher priced big brothers to this camera. Now the 18.1MP sensor.....WOW  The image sizes of the CMOS sensor allow me great latitude in adjusting and tweaking my RAW images anytime I wish to be creative. If you are just starting out are bored with the out of date  point-n-shoot  want to upgrade your digital cams or you want to move from film to digital the T3i will not disappoint. Its an excellent camera for ANY level of photographer - beginner or experienced pro this camera really shines. Oh and the video.....Its 1080p HD nothing more needs to be said. Canon yo
Featuures	 third child
Feedback	have friends who love it
Feel Canon EOS 20D Lightweight	Somewhat Compact sizeEase of use
Feel Canon EOS 20D Lightweight	Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.
Feel Canon EOS 20D Lightweight	It is as many have explained before a little small as I was used to the bigger and heavier 20D body but I guess is just a matter of getting used to it.
Feel Canon EOS 20D Lightweight	  I love this camera as it does a good job of taking pictures and is not very heavy.  It looks like it should be but does not feel like it is.  It appears to be a very sturdy camera.
Feel Canon EOS 20D Lightweight	Easy to operate. The buttons are spread evenly on left side and right side so you can use them with both hands quickly. For Canon t2i you do most things with your right thumb that slows you down a little bit.
Feel Canon EOS 20D Lightweight	.  I find the ergonomic arrangement of controls on the camera to very very intuitive and pleasant to use.  The camera feels solid and is easy to hold with the very adequate right hand grip that has a rubberized cover allowing the user to maintain a firm grip.
File Size And Resolution	18MP Stills  best for the money competitors are usually 16MP
Film	If you are just starting out are bored with the out of date  point-n-shoot  want to upgrade your digital cams or you want to move from film to digital the T3i will not disappoint.
Filter UV filter (optics)	Make sure to get UV filter mostly for protecting the lens and a spare battery
Filter UV filter (optics)	Make sure to get UV filter mostly for protecting the lens and a spare battery Ive got the Opteka one for 
Firm Grip Use forms of explosives	ery adequate right hand grip that has a rubberized cover allowing the user to maintain a firm grip
First DSLR 135 film Lens (optics)	18-135mm lens is a nice upgrade to the standard kit 18-55mm lens
First Time Users Nikon D3100 Digital camera	For ease of use IQ form factor it wont weigh me down etc. I feel as if the D3100 was a great purchase
First Time Users Nikon D3100 Digital camera	I am not a professional so please dont take my opinion as someone acting as an authority on this subject but as a first time user I am happy and hope my review will help any other first time digital camera fans out there.  Thanks.
FIt Hyundai Sonata Toddler	fit fine
FIt Hyundai Sonata Toddler	seat is gigantic.
FIt Hyundai Sonata Toddler	doesnt move around
FIt Hyundai Sonata Toddler	size is pretty big
FIt Hyundai Sonata Toddler	fine and snug as can
FIt Hyundai Sonata Toddler	The seat is gigantic.
FIt Hyundai Sonata Toddler	Big enough for a toddler
FIt Hyundai Sonata Toddler	light bump in the middle
FIt Hyundai Sonata Toddler	I was able to fit it easily
FIt Hyundai Sonata Toddler	 My son fits comfortably in it
FIt Hyundai Sonata Toddler	It fit fine and snug as can be
FIt Hyundai Sonata Toddler	It fit fine and snug as can be
FIt Hyundai Sonata Toddler	 It fit fine and snug as can be
FIt Hyundai Sonata Toddler	It fit fine and snug as can be.
FIt Hyundai Sonata Toddler	 It fit fine and snug as can be.
FIt Hyundai Sonata Toddler	it has fit really well in all cars
FIt Hyundai Sonata Toddler	fits comfortably in it and has so much room
FIt Hyundai Sonata Toddler	ts very comfortable and appears to be very safe
FIt Hyundai Sonata Toddler	fits really snugly in my car and doesnt move around.
FIt Hyundai Sonata Toddler	car seat fits really snugly in my car and doesnt move around
FIt Hyundai Sonata Toddler	  Plus the seat seams padded well and comfortable for my son.
FIt Hyundai Sonata Toddler	The material was soft and fuzzy very comfortable for a little baby.
FIt Hyundai Sonata Toddler	My child is so comfortable and Im confident that he is safe and secure.
FIt Hyundai Sonata Toddler	This delivers he isnt leaning back as far and the sides dont cave in next to him
FIt Hyundai Sonata Toddler	 fits comfortably in it and has so much room verses his carrier car seat we brought him home in.
FIt Hyundai Sonata Toddler	My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in
FIt Hyundai Sonata Toddler	 My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in
FIt Hyundai Sonata Toddler	My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in.
FIt Hyundai Sonata Toddler	Graco put overall adequate padding in the back part but where the baby sits there is absolutely NO padding.
FIt Hyundai Sonata Toddler	not a level indicator on that base. Therefore when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level
FIt Hyundai Sonata Toddler	I drive a Hyundai Sonata so we have decent room in my car for the seat but weve also put it in a friends four runner and my husbands Elantra and it has fit really well in all cars.
FIt Hyundai Sonata Toddler	 This delivers he isnt leaning back as far and the sides dont cave in next to him. I could tell he liked having things a little roomier the moment I put him in this seat. He still falls asleep with ease.
FIt Hyundai Sonata Toddler	with the side impact shaping its a very tight space to use the light blue head rests shown in the listing picture.  I havent tested it out yet but just from the appearance I can tell its not going to work
FIt Hyundai Sonata Toddler	Tight fit but does the job its supposed to do. Again my little girl likes being in the seat and able to look out of the windows at the world around her. I would recommend this product to anyone I knew who was in need of a good car seat.
Fits Easy On Tripod	I can just flip open my tripod lock and GO  
Fits In Even Small Cars	Her car is a Honda Civic so it was a little tricky to get it in. Tight fit but does the job its supposed to do. Again my little girl likes being in the seat and able to look out of the windows at the world around her
Fits Seats With No Problem	It fit fine and snug as can be
Fits Snug	5.0 out of 5 stars 
Fits Well In Cars	it has fit really well in all cars.
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great.
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	frequent and unpredictable delays when  busy  flashes
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great. Also when taking pictures on wide angle setting
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.
Flash Lens (optics) Wide-angle lens (photography) Angle Autofocus Shutter Camera button Focus Point-and-shoot camera	Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.
