Wireless,N
Beginners,Since I have switched from Nikon to Canon a lot of my review is based on comparison to Nikon.
Low Light,The articulating screen wasnt necessary yet it IS what made me choose this model over the T2i
Comfort,This is not a professional level SLR but it performs very well as a small light APS-C camera.
Lens Price,What sold me was the guide mode.  It teaches you how to set up the camera for fantastic shots
Automode And Point, It is side crash tested and the base is adjustable you can recline it at 3 different levels. 
Picture Quality,adequate right hand grip that has a rubberized cover allowing the user to maintain a firm grip
Attribute- Pixel And Grain Makeup,afety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Comfort,bottom line is that images from the D3100 are indistinguishable from the more expensive models
Low Light Shooting,consider getting a 50mm f1.8 or 1.4 lens and a fisheye/wideangle if you do skate videos/photos
Picture Quality,fits comfortably in it and has so much room verses his carrier car seat we brought him home in
Kit Lens,If you are going to use it rear facing you do need a rolled up towel or pool noodle underneath
Price,it is a great camera capable of very good pictures just not in the auto point and shoot modes.
Beginner,t is so high in fact that my 3 1/2 year old would still be able to be rear facing in this seat
Affordable,The articulating screen wasnt necessary yet it IS what made me choose this model over the T2i.
Price,the biggest is this darn sun visor. While it is very large the middle section is made of mesh.
Video,This is a great car seat. I did a lot of research on safety price etc. before buying this one.
Speed,This seat seems to breathe so she remains a comfortable temperature while securely strapped in
Speed,What sold me was the guide mode.  It teaches you how to set up the camera for fantastic shots.
Video Quality, noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for.
Shutter Speed, The articulating screen wasnt necessary yet it IS what made me choose this model over the T2i.
Burst Rate,Amazon.com Customer Reviews Safety 1st Complete Air 65 Protect Convertible Car Seat Silver Leaf
HD Video,f you are looking to do mainly surf but this camera BODY ONLY + a 18-135mm 55-200mm or 75-300mm
Performance - Speed,fits comfortably in it and has so much room verses his carrier car seat we brought him home in.
Video,I have mainly used point and shoot cameras in the past and have always had fun taking pictures.
Video,I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for
Size,If you are going to use it rear facing you do need a rolled up towel or pool noodle underneath 
Comfort,safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Visor,This seat seems to breathe so she remains a comfortable temperature while securely strapped in.
Features,This will even work for newborns. if I had known that I would have gotten this a long time ago.
Overall,We are able to use our Britax Marathon a Graco booster and this infant car seat all in one row.
Safety, fits comfortably in it and has so much room verses his carrier car seat we brought him home in.
Size, I liked that the extra deep side wings around the head kept his head from slumping to the side.
Size, If you see the video when shopping for a car seat I found this to be a great deal for the price
#N/A, would recommend to get a high speed memory card. The pictures at full 18MP take a lot of memory
Seat Size,All that to say - I still love a lot of things about this carseat but I do NOT love cleaning it.
Design,I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for.
Design,If you are looking to do mainly surf but this camera BODY ONLY + a 18-135mm 55-200mm or 75-300mm
Quality,No mode in canon to set Av mode and set min shutter speed while letting the camera pick the ISO.
Quality,reference whether you need a view finder that moves and if that feature is worth the extra 100. 
Well Made,  This seat seems to breathe so she remains a comfortable temperature while securely strapped in.
T2i, I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for.
Size, the only cameras I liked that felt good in my hand were the Canon T2i Nikon D5100 and the Can T3
Comfort,Additionally with the side impact shaping its a very tight space to use the light blue head rests
Cost,Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow
Comfort,I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for. 
#N/A,No autofocus when zooming while taking video pressing shutter button half way focuses the picture
Image Quality,rs the 3.7 fps its supposed to.  It makes a huge difference knowing you can press the shutter and
18-135 Lens Large,shoots great in low lighting settings. all the controls fit my hand nicely and it feels natural. 
Beginner Friendly,the quality and sound you would have thought I used a real video camera and not one from a camera
Same As Above, I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for. 
Angle Settings Can Create Shade,18MP Stills  best for the money competitors are usually 16MPBuilt in image stabilizer 18-55mm lens
Recline,Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow.
Picture Quality,Bonus- its wallet friendly and in this economy who wouldnt want to save a buck on a great product 
Low Light,but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk
Components,ery adequate right hand grip that has a rubberized cover allowing the user to maintain a firm grip
Larger Car Seat,he part that attaches to the headrest DOES NOT come off and therefore needs to be cleaned by hand.
Safety,No autofocus when zooming while taking video pressing shutter button half way focuses the picture.
Safety,The 18-135 lens is nice but a bit large. Maybe its large thats why the image quality is very good.
Size,the part that attaches to the headrest DOES NOT come off and therefore needs to be cleaned by hand
Rear Facing,there is a problem with the D3100 choosing very high ISO levels in Auto Mode no matter the setting
Size For Vehicle,They tell you to get the base for the snug ride 35 but there is not a level indicator on that base
User Friendly, No autofocus when zooming while taking video pressing shutter button half way focuses the picture.
Installation, there is a problem with the D3100 choosing very high ISO levels in Auto Mode no matter the setting
Installation,Auto focus in  live view  mode seeing through the lcd instead of the viewfinder is extremely slow. 
Size,back facing in this seat for about six months and now have him forward facing.  Hes liked both ways
Comfort,but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Features,ery nice fabric thats soft to the touch and the buckle system is heavy duty and easy to use as well
Cost,he bottom line is that images from the D3100 are indistinguishable from the more expensive models. 
Design,I have not learned enough to take many pictures off of Auto mode so it acts like a point and shoot.
Quality,I read reviews that it was difficult to install in car but it was easy if you read the instructions
#N/A,purchase the camera body separately so that I could pair it with the EF-S 17-55mm f/2.8 IS USM lens
Quality,the part that attaches to the headrest DOES NOT come off and therefore needs to be cleaned by hand.
Comfort,there is a problem with the D3100 choosing very high ISO levels in Auto Mode no matter the setting.
Padding,  Bonus- its wallet friendly and in this economy who wouldnt want to save a buck on a great product 
Comfortability, I read reviews that it was difficult to install in car but it was easy if you read the instructions
Adjust, i would recommend this camera over any one on the market and shoots great in low lighting settings.
Size, the part that attaches to the headrest DOES NOT come off and therefore needs to be cleaned by hand.
Installing,Although friends told me that Britax car seats were great I could not see myself spending that much 
Comfortable,Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade
Comfort,comes with a comfortable good quality neck strap and is quite light and small compared to other SLRs
Price,for the price would it have REALLY been that expensive for Graco to continue the padding to the SEAT
Safety,here is a problem with the D3100 choosing very high ISO levels in Auto Mode no matter the setting.  
Usage,I read reviews that it was difficult to install in car but it was easy if you read the instructions.
Performance - Speed,put overall adequate padding in the back part but where the baby sits there is absolutely NO padding
LCD Screen Articulated,son fits comfortably in it and has so much room verses his carrier car seat we brought him home in. 
Size,  The bottom line is that images from the D3100 are indistinguishable from the more expensive models.
Satisfaction, I read reviews that it was difficult to install in car but it was easy if you read the instructions.
Extra Features, very adequate right hand grip that has a rubberized cover allowing the user to maintain a firm grip.
Base, video manual focus on the Canon and also the Nikon D5100 does not have a built-in focus motor. I am 
Installation,Although friends told me that Britax car seats were great I could not see myself spending that much .
Purchase,at a reasonable price - as well as experienced photographers who need a reliable easy to carry backup
Delivery From Seller,Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.
Price,But anyone that knows cameras and knows their way around with them will tell you they are crap lenses
Price,For ease of use IQ form factor it wont weigh me down etc. I feel as if the D3100 was a great purchase
Price,good for trips taking pictures of kids or in any other situation where you dont want to change lenses
Cost,I find the ergonomic arrangement of controls on the camera to very very intuitive and pleasant to use
Overall,I read reviews that it was difficult to install in car but it was easy if you read the instructions. 
Taking Easy Pictures,If youd like to see the work I have done with my t2i and 50mm. . check me out brittneysheystudios.com
Installation,Light weight great body design. Even with my bigger hands I can handle the camera with comfortability
Installation And Others,My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in
Price,Normally he literally fights and struggles when it is time to get into the the car but not this time.
Cost,Now for the cons.  The seat is gigantic.  When rear facing it would only fit in one postion in my car
Safety, Although friends told me that Britax car seats were great I could not see myself spending that much .
Quality Of PIcture, My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in
Lens,Although friends told me that Britax car seats were great I could not see myself spending that much . 
Size For Vehicle,As a first time Digital SLR buyer and user I love this camera and would highly recommend it to others.
True To Ad,For ease of use IQ form factor it wont weigh me down etc. I feel as if the D3100 was a great purchase.
Getting The Base In A Level Position,good for trips taking pictures of kids or in any other situation where you dont want to change lenses.
Size,I find the ergonomic arrangement of controls on the camera to very very intuitive and pleasant to use.
Rear Facing,Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.
Price,My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in.
Auto,Now for the cons.  The seat is gigantic.  When rear facing it would only fit in one postion in my car.
Safety,sent me a new cover that is a suede-like plush material -- free of charge  I was pleasantly surprised.
Size, I had to uninstall it and reinstall it with the pad in its proper place making it very difficult to do
Size, Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.
Comfortable, My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in.
Comfort,adjustment wheel just behind the shutter button makes changing settings very simple when in manual mode
Comfort,As a first time Digital SLR buyer and user I love this camera and would highly recommend it to others. 
Comfort,Cant adjust strap length while in rear facing position. This is most frustrating but not often an issue
Comfort,daughter seems to be more pleasant on car rides now that she can sit up and see more out of the windows
Comfort,his kit compared to body + 18-135mm Canon lens.- Performance. Minimal shutter lag good low-light perfor
Comfort,I also love about it is the head rest is removable which does not block my view since he is still small
Comfort,I dont know if anyone else feels this way but trying to install a car seat is just the worst task ever.
Comfort,macro features are also on par with its more advanced and WAY higher priced big brothers to this camera
Comfort,Most canon lenses have loud autofocus motors. The lenses with the nicer USM AF motors are too expensive
Comfort,T2i is FAST.  I shoot my toddler in continuous mode and the camera delivers the 3.7 fps its supposed to
Transition,The size is pretty big not really an issue for me but it could be in some of the smaller cars out there
Good For Infants And Toddlers,  I find the ergonomic arrangement of controls on the camera to very very intuitive and pleasant to use.
Pricey And Flash Is Not Good, be more pleasant on car rides now that she can sit up and see more out of the windows in the back seat.
User Credibility, My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in. 
Quality,. Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.
Material,Cant adjust strap length while in rear facing position. This is most frustrating but not often an issue.
Material,comes with head/neck support cushion. The material was soft and fuzzy very comfortable for a little baby
Comfort,I am not a professional so please dont take my opinion as someone acting as an authority on this subject
Comfort,Most canon lenses have loud autofocus motors. The lenses with the nicer USM AF motors are too expensive.
Comfort,The size is pretty big not really an issue for me but it could be in some of the smaller cars out there 
Comfort,we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2
Baby Comfort,  The size is pretty big not really an issue for me but it could be in some of the smaller cars out there
Padding,comes with head/neck support cushion. The material was soft and fuzzy very comfortable for a little baby.
Comfortability,I have the camera saving in both RAW and JPEG until I can get familiar enough to switch completely to RAW
FIt,Make sure to get UV filter mostly for protecting the lens and a spare battery Ive got the Opteka one for 
Price, I will say that if I could buy it again I would but not with the kit lenses yes it seems like a good deal
User Opinion,Again for the price would it have REALLY been that expensive for Graco to continue the padding to the SEAT
Safety,but where the baby sits there is absolutely NO padding.  -So babies only have the carseat covers thickness
Customer Service,Graco put overall adequate padding in the back part but where the baby sits there is absolutely NO padding
Rating,he seat holds a child up to 65lbs thus the name  Air 65 .  The Air Protect only holds a child up to 50lbs.
Rating,I took a dance performances of my wife and Kids at local community get together and they came out so good 
Ratings,she use to always scream when even we had to go anywere but with this new saftey 1st car seat she loves it
Ratings,The seat holds a child up to 65lbs thus the name  Air 65 .  The Air Protect only holds a child up to 50lbs
Rankings, wings  that I referred to earlier the things that stick out on either side of her head do not clean easily
Consumer Reports,- Make sure to get UV filter mostly for protecting the lens and a spare battery Ive got the Opteka one for 
Skate/surf Video,Graco put overall adequate padding in the back part but where the baby sits there is absolutely NO padding.
Shoot Modes,Highly recommended to other newbies who want to get involved with digital photography at a reasonable price
Features,I have had it for a few months now and I get alot of great compliments on my pictures they are professional
Price,Ive compared Canon EOS t2i with Nikon D3100 and finally I picked D3100. I am very happy about the decision.
Price,Mic input18MP Stills  best for the money competitors are usually 16MPBuilt in image stabilizer 18-55mm lens
Value,The adjustment wheel just behind the shutter button makes changing settings very simple when in manual mode
Price,The IS works really well and I think better than nikons which I had tried for a week with a borrowed D5000.
Material,The macro features are also on par with its more advanced and WAY higher priced big brothers to this camera
Comfort,The nikon D5100 has a better larger DX sensor vs canon APS sized sensor sensor. So less noise on the Nikon.
Price,The seat holds a child up to 65lbs thus the name  Air 65 .  The Air Protect only holds a child up to 50lbs.
#N/A,  Again for the price would it have REALLY been that expensive for Graco to continue the padding to the SEAT
Battery,  So I had to uninstall it and reinstall it with the pad in its proper place making it very difficult to do.
Safety, Graco put overall adequate padding in the back part but where the baby sits there is absolutely NO padding.
Comfortable, The adjustment wheel just behind the shutter button makes changing settings very simple when in manual mode
Material,7D in a crop body with user-friendly controls and the advanced functionality that Canon DSLRs are known for.
Material,body is rock solid and worthy of purchase for ANY and ALL people entering or needing an advanced DSLR camera
Material,Graco put overall adequate padding in the back part but where the baby sits there is absolutely NO padding. 
Comfort,Highly recommended to other newbies who want to get involved with digital photography at a reasonable price 
Comfort,Overall a very nice car seat for the price. This is a great option for those of us who cant afford a Britax.
Comfort,Safety is obviously my primary concern and this car seat fits really snugly in my car and doesnt move around
Padding,The T2i is FAST.  I shoot my toddler in continuous mode and the camera delivers the 3.7 fps its supposed to.
Seat Material,What I also love about it is the head rest is removable which does not block my view since he is still small
Features,  The seat holds a child up to 65lbs thus the name  Air 65 .  The Air Protect only holds a child up to 50lbs.
Features, Highly recommended to other newbies who want to get involved with digital photography at a reasonable price 
Sleeping,Big enough for a toddlerEasy to installComfortable for kids from infant to toddlerNo thread adjustable straps
Heavily Researched,i have probably saved  200-300  i would recommend this to anybody i know who is into DSLR. NIKON  way to go  
Fits Easy On Tripod,PRICE since the T3i came out this camera is going down in price but essentially is the same camera as the T3i
Expertise,Pros1. Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.
Expensive Memory Card Required,Safety is obviously my primary concern and this car seat fits really snugly in my car and doesnt move around.
Memory Card Cost,What I also love about it is the head rest is removable which does not block my view since he is still small.
#N/A,- Price- Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.
Focus,Compared to the instant responsiveness of the T2i this was plain annoying and caused me to miss numerous shots
Auto Focus,extra deep side wings around the head kept his head from slumping to the side.  I love the no rethread harness
Auto Focus,he  wings  that I referred to earlier the things that stick out on either side of her head do not clean easily
Autofocus/zoom,I have used the f1.8 and the Tamron 70-300 lenses as well as the kit lens and love learning every day with it.
Video,product features and product description contradict each other in regards to the weight limit of this car seat
Auto-focus,The camera comes with a comfortable good quality neck strap and is quite light and small compared to other SLR
No Auto Focus,The T2i is FAST.  I shoot my toddler in continuous mode and the camera delivers the 3.7 fps its supposed to.  
Vedio,What I also love about it is the head rest is removable which does not block my view since he is still small. 
Autofocus,  Safety is obviously my primary concern and this car seat fits really snugly in my car and doesnt move around.
Autofocus,Although the seat is big which I love I was able to fit it easily and securely in the back of my Nissan Sentra.
Attributes,Compared to the instant responsiveness of the T2i this was plain annoying and caused me to miss numerous shots.
Safety,eat cover is made of a material where the velcro on my sons shoes frayed it and the seat cover became scratchy.
More Room Than Carrier Car Seat,Her car is a Honda Civic so it was a little tricky to get it in. Tight fit but does the job its supposed to do.
#N/A,I have a baby on the way and know the seat will be durable enough to withstand constant use through 2 children 
Price,Its an excellent camera for ANY level of photographer - beginner or experienced pro this camera really shines. 
Safety,My only issue with the T3i concerns the GRID functions. These work only in LIVE VIEW MODE as Ive found so far. 
Comfortability,my pictures they are professional looking my family and friends say and these are just on the automatic setting
Installation,product features and product description contradict each other in regards to the weight limit of this car seat.
Easy Install,seat cover is made of a material where the velcro on my sons shoes frayed it and the seat cover became scratchy
Service,t.  The seat holds a child up to 65lbs thus the name  Air 65 .  The Air Protect only holds a child up to 50lbs.
Service,The  wings  that I referred to earlier the things that stick out on either side of her head do not clean easily
Customer Service,The 18-135mm lens is a nice upgrade to the standard kit 18-55mm lens. Especially if this is your first DSLR and
#N/A,The camera comes with a comfortable good quality neck strap and is quite light and small compared to other SLRs
Installation,This is the second Safety 1st complete Air 65 car seat that we have purchased so we could have one in each car.
Install,this seat is great and my son LOVES it   He used to fuss in his carrier/ infant seat but he doesnt at all here.
Price,  I love this camera as it does a good job of taking pictures and is not very heavy.  It looks like it should be
Price,  Safety is obviously my primary concern and this car seat fits really snugly in my car and doesnt move around. 
Price,articulating LCD screen. I personally preferred the Canon T3i over the Canon T2i because of that one reason only
Good Deal For The Price,enter. It fit fine and snug as can be. What I also love about it is the head rest is removable which does not bl
Size,Her car is a Honda Civic so it was a little tricky to get it in. Tight fit but does the job its supposed to do. 
User Opinion,It is also good for trips taking pictures of kids or in any other situation where you dont want to change lenses
Size,not very heavy.  It looks like it should be but does not feel like it is.  It appears to be a very sturdy camera
Cleaning,The  wings  that I referred to earlier the things that stick out on either side of her head do not clean easily 
Material Easy To Clean,This is the second Safety 1st complete Air 65 car seat that we have purchased so we could have one in each car. 
Autofocus ,Unfortunately I have not learned enough to take many pictures off of Auto mode so it acts like a point and shoot
Material,Unfortunately we had to turn them forward facing before their second birthday because they did not fit backwards
Size,would onlt fit in the 2nd row in the middle seating position so that it came up almost through the 2 front seats
#N/A, Her car is a Honda Civic so it was a little tricky to get it in. Tight fit but does the job its supposed to do. 
Installation,Apparently this is a discussed firmware issue but Nikon claimed they hadnt heard about it when I messaged them...
Facing Rear,It is also good for trips taking pictures of kids or in any other situation where you dont want to change lenses.
Easy Installation,ProsBig enough for a toddlerEasy to installComfortable for kids from infant to toddlerNo thread adjustable straps
Service,The  wings  that I referred to earlier the things that stick out on either side of her head do not clean easily  
Service,Unfortunately I have not learned enough to take many pictures off of Auto mode so it acts like a point and shoot.
Service,Unfortunately we had to turn them forward facing before their second birthday because they did not fit backwards.
Service,  Compared to the instant responsiveness of the T2i this was plain annoying and caused me to miss numerous shots. 
Service,  Unfortunately I have not learned enough to take many pictures off of Auto mode so it acts like a point and shoot
Warranty Service,bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy
Padding,Cons- Price- Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.
Quality,everyone tells me that Nikon has a better lenses but when it comes down to it you can buy any lens for your camera
Cleaning,he seat cover is made of a material where the velcro on my sons shoes frayed it and the seat cover became scratchy
Cleaning,pictures at full 18MP take a lot of memory. Better get some means of decent storage space 750-1TB hardrive will do
Cleaning,The  wings  that I referred to earlier the things that stick out on either side of her head do not clean easily   
Cleaning,the product features and product description contradict each other in regards to the weight limit of this car seat
Hard To Clean,They were pretty easy to install and adjusting the straps as the kids grow is so easy in comparison to other seats
Maintenance,This body is rock solid and worthy of purchase for ANY and ALL people entering or needing an advanced DSLR camera.
Clean,Unfortunately we had to turn them forward facing before their second birthday because they did not fit backwards. 
Easy To Clean ,  Unfortunately I have not learned enough to take many pictures off of Auto mode so it acts like a point and shoot.
Ease Of Cleaning,hen you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level
Install,I can not believe the quality and sound you would have thought I used a real video camera and not one from a camera
Price,ight out of the box I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for
Price,Overall we feel both our children are safe and would recommend this for long term use to friends and family members
Price,the seat cover is made of a material where the velcro on my sons shoes frayed it and the seat cover became scratchy
Price For Quality ,They were pretty easy to install and adjusting the straps as the kids grow is so easy in comparison to other seats.
Ease Of Use,This also has very nice fabric thats soft to the touch and the buckle system is heavy duty and easy to use as well.
Cleaning, everyone tells me that Nikon has a better lenses but when it comes down to it you can buy any lens for your camera.
Performance (speed), the product features and product description contradict each other in regards to the weight limit of this car seat.
Picture Taking, This body is rock solid and worthy of purchase for ANY and ALL people entering or needing an advanced DSLR camera. 
Lens,As soon as you move up to manual for full control you lose the grid I use the 3x3 which helps me set my composition.
Price,choosing very high ISO levels in Auto Mode no matter the setting.  This is causing the grain/dull/no detailed photos
Lens,Material is easy to clean and comfortable on my babys skin. All I can say is this was a great purchase for our famil
Installation Easy,right out of the box I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for
Components,the seat cover is made of a material where the velcro on my sons shoes frayed it and the seat cover became scratchy.
Size,They were pretty easy to install and adjusting the straps as the kids grow is so easy in comparison to other seats. 
Size, seat but weve also put it in a friends four runner and my husbands Elantra and it has fit really well in all cars.  
Features,exactly as it is advertised basically a 7D in a crop body with user-friendly controls and the advanced functionality 
Quality,No audio recording level adjustAlmost no low light auto focus when taking long exposures of moon/stars/light painting
Service,They claim the new base should be available on the market soon but for now you have to buy it through graco directly.
Ease Of Use,when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level.
Happiness With One Over Other, Battery life seems to be very good - longer than I expected.  The included corded battery charger will appeal to some
General Performance, They claim the new base should be available on the market soon but for now you have to buy it through graco directly.
Comfort - Material,.  They were pretty easy to install and adjusting the straps as the kids grow is so easy in comparison to other seats.
Previous Research Reassuring,Britax Advocate I feel like you get what you pay for I was told about this car seat and figured I would give it a try.
Tight On Power Comsumption,Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.- No autofocus wh
Baby Can See Out Windows,dont need to compromise on quality or style.  It is a well made and designed car seat and the price is very reasonable
Snug,Easy to operate. The buttons are spread evenly on left side and right side so you can use them with both hands quickly
Comfortness,on dark venues the extra steps with the high ISO combined with large apertures on lenses provided the best combination
Security,side crash tested and the base is adjustable you can recline it at 3 different levels. I highly recommend this it item
Size,The main differences I noticed in it were the flip out LCD screen which I use more often for some of the photos I take
Size,The pictures at full 18MP take a lot of memory. Better get some means of decent storage space 750-1TB hardrive will do
Can Only Hold Up To 50 Lbs,it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk
Size,right out of the box I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for.  
FIt,The main differences I noticed in it were the flip out LCD screen which I use more often for some of the photos I take.
Quality, VERY easy to install base in car. It takes my husband less than 2 minutes.  excellent padding and very nice soft fabric
Value, was able to purchase a telephoto lens to go with it.  Worth every penny.  I look forward to many years of great photos.
Needed Accessories,I could tell he liked having things a little roomier the moment I put him in this seat. He still falls asleep with ease.
Transitions,I took some picture with the Auto mode and they came out very good. Also i loved the guide mode when in doubt use guide.
Software,In hindsight The nikon D5100 has a better larger DX sensor vs canon APS sized sensor sensor. So less noise on the Nikon.
Brand,it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Hivemind,It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy
Comfort,It is GREAT for skate/surf video because of its 60fps mode.  If you are comparing this camera to the T3i get this camera
Size For Vehicle,The instructions were a little hard for me to follow remember now I am the grandma and over 50 so please keep it simple 
#N/A,The pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture
User Opinion, I could tell he liked having things a little roomier the moment I put him in this seat. He still falls asleep with ease.
Instructions, it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Lens,emailed customer service with pictures and they sent me a new cover that is a suede-like plush material -- free of charge
Weight,excellent padding and very nice soft fabric. I rolled some burp cloths on the side to stabilize his head while hes still 
Weight,It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy.
Weight,The pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture.
Weight,They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.
Portability,  It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy
Extra Features,better sensor  in the D5100 and D7000 at best has a bit more low light sensitivity but the overall images are not superior
Comfort,It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy. 
Lens Quality,t is great for intermediate shooters who want to get their first or second DSLR.  It is very user Friendly and Fun to use.
Meets Standards,we dont need to compromise on quality or style.  It is a well made and designed car seat and the price is very reasonable.
Comfortable,  It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy.
Comfort,  The pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture.
Safety FEatures,he correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base. 
Comfort,I emailed customer service with pictures and they sent me a new cover that is a suede-like plush material -- free of charge
Weight,Im glad to have this camera it has everything comparable to canon t2  1080p movie 14.2 mp 502g light weight. 3 inch screen 
Agreement,It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy.  
Can Focus Yourself,It is great for intermediate shooters who want to get their first or second DSLR.  It is very user Friendly and Fun to use.
Overall Performance,This seat would onlt fit in the 2nd row in the middle seating position so that it came up almost through the 2 front seats.
Installation,Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk
Comfortable,  Install was exteremly easy and it fit well in both of our cars. Material is easy to clean and comfortable on my babys skin
User Opinion,  It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy. 
Comfort Safety,I emailed customer service with pictures and they sent me a new cover that is a suede-like plush material -- free of charge 
Price,Im glad to have this camera it has everything comparable to canon t2  1080p movie 14.2 mp 502g light weight. 3 inch screen .
Lens,Install was exteremly easy and it fit well in both of our cars. Material is easy to clean and comfortable on my babys skin. 
Durability,my daughter seems to be more pleasant on car rides now that she can sit up and see more out of the windows in the back seat.
Attribute- Design,Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk.
Comfort,  It is great for intermediate shooters who want to get their first or second DSLR.  It is very user Friendly and Fun to use.
Comfort, loud autofocus motors. The lenses with the nicer USM AF motors are too expensive.No mode in canon to set Av mode and set min
Comfort,After talking to 2 graco representatives the first one told me to  eyeball it  they were able to send me a snug ride 30 base.
Video,It is side crash tested and the base is adjustable you can recline it at 3 different levels. I highly recommend this it item.
Cleaning The Seat,pros VERY easy to install base in car. It takes my husband less than 2 minutes.  excellent padding and very nice soft fabric.
Video Quality,The seat was comfortable looking and big enough rear facing all the way until two years old which is what the apa recommends.
Accessories,  I emailed customer service with pictures and they sent me a new cover that is a suede-like plush material -- free of charge 
Safety, Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk. 
Safety,FULL HD VIDEO RECORDING60fps HD Recording AMAZING slow motion Manual video controlsMic input18MP Stills  best for the money co
Comfort,Nikon suggests certain memory cards that they certified to use with this camera.  Most of these for an 8GB card are 50 or more
Comfortable,pros VERY easy to install base in car. It takes my husband less than 2 minutes.  excellent padding and very nice soft fabric. 
Fuzzy,The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate
Customer Satisfaction,where the baby sits there is absolutely NO padding.  -So babies only have the carseat covers thickness as padding and thats it
Hivemind,  I emailed customer service with pictures and they sent me a new cover that is a suede-like plush material -- free of charge  
Hivemind,adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode
Lens,ave yourself the headache of working with the kit lens and purchase just the camera body.  Pair it with the lens of your choice
CONS - Wireless,excellent padding and very nice soft fabric. I rolled some burp cloths on the side to stabilize his head while hes still small.
Safety,isnt the cheapest seat out there but for how good it is and compared to comparable seats youre getting one heck of a good deal.
Very Secure And Kids Love Them,looking seriously at the Canon T2i and the Nikon D3100.  For the money the D3100 cant be beat.  What sold me was the guide mode
Size,No need for that this seat is great and my son LOVES it   He used to fuss in his carrier/ infant seat but he doesnt at all here
Safety,Other than the ISO firmware issue it is a great camera capable of very good pictures just not in the auto point and shoot modes
Size,adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Comfort,Again my little girl likes being in the seat and able to look out of the windows at the world around her. I would recommend this
Comfort,allows it to be positioned so that otherwise very awkward camera positions ie overhead or low to the ground are easily possible.
Well Padded,Cons- Price- Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.- No autofocus
Comfort,excellent padding and very nice soft fabric. I rolled some burp cloths on the side to stabilize his head while hes still small. 
